,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Day,Month,Year,distance
32,35.0,4.3,5.0,2.0,1,2,4,1.0,0.0,1.0,33,14,3,2022,10.865464603780305
33,30.0,4.7,5.0,2.0,1,1,3,1.0,0.0,1.0,33,6,4,2022,12.236723616598821
34,37.0,4.7,3.0,4.0,0,2,4,3.0,0.0,1.0,52,4,4,2022,13.682516298591963
35,28.0,4.6,2.0,4.0,1,2,3,1.0,0.0,1.0,22,8,3,2022,16.826241648658563
36,37.0,4.9,1.0,1.0,1,2,3,1.0,0.0,2.0,16,13,2,2022,3.0272369309751475
37,23.0,4.9,6.0,4.0,2,1,2,0.0,0.0,1.0,11,24,3,2022,9.175193844437283
38,27.0,4.9,4.0,2.0,1,1,3,1.0,0.0,1.0,25,19,3,2022,9.315069177421467
39,37.0,4.8,5.0,2.0,0,1,4,1.0,0.0,2.0,26,9,3,2022,6.209021101535329
40,33.0,5.0,6.0,3.0,2,2,3,1.0,0.0,1.0,18,19,3,2022,1.5203447277394997
41,31.0,4.9,1.0,2.0,1,2,4,1.0,0.0,1.0,16,3,4,2022,6.037225392444489
42,31.0,4.8,2.0,1.0,2,1,3,1.0,0.0,1.0,23,25,3,2022,17.078665498349924
43,25.0,5.0,5.0,1.0,0,2,4,0.0,0.0,1.0,15,13,2,2022,4.717601092054723
44,28.0,4.8,3.0,4.0,0,1,4,1.0,0.0,1.0,36,4,4,2022,12.464329297636855
45,31.0,4.7,5.0,1.0,2,2,4,0.0,0.0,1.0,16,26,3,2022,9.12142598198074
46,24.0,4.7,6.0,2.0,0,4,4,0.0,0.0,2.0,19,10,3,2022,14.02323208308413
47,39.0,4.6,6.0,1.0,1,2,4,1.0,0.0,1.0,27,14,2,2022,13.392612276663753
48,39.0,4.2,1.0,4.0,2,2,3,1.0,0.0,1.0,49,2,3,2022,12.58026782240096
49,32.0,4.5,4.0,1.0,2,4,3,0.0,0.0,1.0,20,26,3,2022,1.4899271643867567
50,36.0,4.7,5.0,4.0,1,2,4,1.0,0.0,1.0,30,13,3,2022,9.435201537430713
51,25.0,4.8,3.0,1.0,1,1,3,0.0,0.0,2.0,18,29,3,2022,11.916582838287255
52,33.0,4.9,6.0,4.0,2,1,3,0.0,0.0,1.0,22,30,3,2022,4.663566689152346
53,30.0,4.4,5.0,1.0,2,1,3,1.0,0.0,1.0,34,12,3,2022,10.641157729337486
54,33.0,5.0,3.0,1.0,0,4,4,0.0,0.0,2.0,24,31,3,2022,16.818368923733058
55,36.0,4.9,1.0,2.0,2,1,3,1.0,0.0,1.0,17,17,3,2022,6.128551257918874
56,21.0,4.8,3.0,1.0,2,3,2,0.0,0.0,1.0,14,15,2,2022,2.996250036666747
57,39.0,4.9,2.0,4.0,2,3,4,1.0,0.0,1.0,30,15,2,2022,7.342175722857832
58,23.0,4.8,2.0,1.0,1,3,3,1.0,0.0,1.0,15,7,3,2022,3.145067434621583
59,35.0,4.8,1.0,2.0,2,4,3,1.0,0.0,2.0,16,28,3,2022,6.290134677634678
60,39.0,4.6,5.0,4.0,1,2,3,1.0,0.0,1.0,36,16,3,2022,13.972123977178395
61,22.0,4.7,6.0,3.0,1,4,3,1.0,0.0,2.0,18,17,3,2022,6.0814407970077005
62,32.0,4.6,1.0,2.0,1,3,3,0.0,0.0,1.0,17,15,3,2022,6.080891507841841
63,24.0,4.8,3.0,1.0,1,4,4,1.0,0.0,2.0,15,25,3,2022,12.58026782240096
64,29.0,4.7,1.0,1.0,0,4,4,1.0,0.0,1.0,17,9,3,2022,3.145067434621583
65,30.0,4.7,,,1,1,3,0.0,0.0,1.0,19,11,3,2022,6.210589610313767
66,26.0,4.7,1.0,1.0,1,4,4,0.0,0.0,1.0,10,5,3,2022,9.220373067021596
67,20.0,4.5,1.0,4.0,1,1,4,1.0,0.0,1.0,27,11,2,2022,7.8626681674103684
68,35.0,4.1,3.0,4.0,1,4,4,2.0,0.0,1.0,37,12,3,2022,13.969606427684226
69,39.0,4.6,1.0,4.0,1,1,3,2.0,0.0,1.0,44,29,3,2022,13.97320677313832
70,34.0,4.7,4.0,3.0,2,1,2,1.0,0.0,1.0,28,19,3,2022,6.058853851668898
71,27.0,4.7,5.0,4.0,2,2,3,1.0,0.0,1.0,42,10,3,2022,17.07799287216156
72,30.0,4.8,4.0,1.0,1,2,4,1.0,0.0,1.0,25,16,2,2022,17.29786575291325
73,25.0,4.4,5.0,2.0,2,2,3,1.0,0.0,1.0,39,27,3,2022,17.07287190639919
74,25.0,4.7,2.0,2.0,0,3,4,0.0,0.0,2.0,20,27,3,2022,16.818368923733058
75,30.0,5.0,2.0,3.0,1,4,4,1.0,0.0,1.0,31,24,3,2022,2.9795028505763823
76,24.0,4.6,2.0,4.0,1,4,4,0.0,0.0,1.0,13,9,3,2022,9.22086597503729
77,39.0,4.8,2.0,4.0,1,3,4,1.0,0.0,1.0,28,3,3,2022,7.66133113422064
78,25.0,4.8,4.0,3.0,1,2,3,1.0,0.0,2.0,19,15,2,2022,6.175516093406556
79,37.0,4.6,1.0,1.0,0,4,4,2.0,1.0,2.0,42,18,2,2022,12.209856560906877
80,24.0,5.0,1.0,1.0,0,1,4,1.0,0.0,1.0,23,1,3,2022,1.5526813140975844
81,25.0,4.2,2.0,4.0,0,3,4,1.0,0.0,1.0,39,23,3,2022,16.902806732498597
82,32.0,4.6,2.0,1.0,2,1,4,1.0,0.0,1.0,25,1,4,2022,1.5093577696342253
83,34.0,4.7,3.0,1.0,1,1,3,0.0,0.0,1.0,15,16,2,2022,6048.631240095335
84,38.0,4.9,5.0,1.0,2,1,3,1.0,0.0,2.0,15,11,3,2022,3.0251186390180176
85,36.0,4.8,6.0,2.0,2,4,2,0.0,0.0,1.0,15,14,3,2022,13.407092693002163
86,25.0,5.0,2.0,4.0,1,3,4,1.0,0.0,1.0,15,18,3,2022,16.721976048741656
87,29.0,5.0,6.0,1.0,0,1,4,0.0,0.0,1.0,18,1,4,2022,7.772343594464188
88,36.0,4.7,3.0,1.0,2,1,2,0.0,0.0,1.0,29,4,4,2022,13.773737657079213
89,33.0,4.7,1.0,1.0,0,2,4,0.0,0.0,1.0,20,11,3,2022,7.790158927085036
90,36.0,4.4,5.0,3.0,2,3,3,1.0,0.0,1.0,39,13,3,2022,6.217834398579603
91,21.0,4.8,4.0,1.0,0,2,4,0.0,0.0,1.0,19,4,3,2022,16.852834881459735
92,25.0,4.8,5.0,1.0,1,2,3,1.0,0.0,2.0,19,26,3,2022,4.610035602261126
93,23.0,4.8,4.0,1.0,0,3,4,0.0,0.0,1.0,17,16,3,2022,19.87987067737402
94,25.0,4.6,2.0,1.0,2,2,4,1.0,0.0,2.0,15,1,3,2022,1.5580833985943423
95,24.0,4.3,3.0,1.0,0,3,4,0.0,0.0,2.0,19,15,3,2022,3.0253327061731827
96,27.0,4.6,3.0,4.0,0,4,4,1.0,0.0,1.0,29,4,3,2022,13.971948960174704
97,23.0,4.8,5.0,1.0,2,2,3,1.0,0.0,2.0,22,18,3,2022,16.830905551931515
98,21.0,4.3,1.0,4.0,1,1,3,0.0,0.0,1.0,42,23,3,2022,20.20779793335838
99,27.0,4.7,3.0,1.0,2,2,3,0.0,0.0,2.0,12,15,3,2022,3.040641621538215
100,32.0,4.2,5.0,4.0,1,2,4,1.0,0.0,1.0,38,8,3,2022,20.253785359470154
101,25.0,4.6,6.0,1.0,0,1,4,1.0,0.0,1.0,23,10,3,2022,16.721296009802852
102,39.0,4.7,5.0,1.0,1,3,3,0.0,0.0,1.0,15,11,2,2022,2.984550789786577
103,27.0,4.6,6.0,1.0,0,2,4,1.0,0.0,1.0,24,14,3,2022,12.161450531436996
104,39.0,3.8,4.0,4.0,1,1,4,0.0,0.0,1.0,37,16,3,2022,16.822155609316784
105,31.0,4.8,3.0,1.0,1,2,3,0.0,0.0,1.0,24,1,3,2022,7.762556904358387
106,31.0,4.8,6.0,1.0,2,4,2,0.0,0.0,1.0,13,1,3,2022,9.055855161965688
107,20.0,4.8,5.0,1.0,0,1,4,0.0,0.0,1.0,16,30,3,2022,1.5545816630915406
108,36.0,4.9,5.0,2.0,0,1,4,1.0,0.0,2.0,42,2,3,2022,12.074047498027545
109,20.0,4.9,3.0,1.0,0,3,4,1.0,0.0,1.0,17,20,3,2022,13.58037387628081
110,24.0,4.6,5.0,4.0,0,1,4,0.0,0.0,1.0,25,3,4,2022,4.469620875558469
111,30.0,4.7,,,3,2,2,0.0,0.0,1.0,25,2,4,2022,16.65983831917015
112,39.0,4.2,1.0,2.0,1,2,3,0.0,0.0,1.0,39,29,3,2022,16.634870118211385
113,37.0,4.8,6.0,3.0,2,3,3,0.0,0.0,1.0,18,17,3,2022,6.232139486668676
114,32.0,4.9,3.0,2.0,2,1,4,1.0,0.0,1.0,28,17,3,2022,6.209021101535329
115,22.0,4.5,3.0,1.0,1,1,3,1.0,0.0,1.0,18,15,2,2022,7.460830127736771
116,23.0,4.9,4.0,1.0,1,3,3,0.0,0.0,1.0,18,18,3,2022,20.253785359470154
117,33.0,4.7,1.0,4.0,1,2,3,1.0,0.0,1.0,49,8,3,2022,16.60097570059501
118,23.0,4.7,6.0,1.0,0,1,4,0.0,0.0,1.0,15,17,2,2022,4.5403213728916425
119,27.0,4.6,6.0,1.0,0,1,4,1.0,0.0,1.0,21,31,3,2022,12.421212735966272
120,34.0,4.7,6.0,3.0,2,2,3,0.0,0.0,1.0,23,1,3,2022,6.118711846690412
121,26.0,5.0,1.0,1.0,2,3,3,1.0,0.0,2.0,11,3,4,2022,1.5204319479995732
122,31.0,4.6,5.0,4.0,0,2,4,0.0,0.0,1.0,25,24,3,2022,9.087972744660556
123,32.0,4.9,1.0,1.0,2,2,4,0.0,0.0,1.0,18,7,3,2022,3.064487105761538
124,27.0,4.7,5.0,1.0,1,4,4,0.0,0.0,1.0,14,9,3,2022,3.025144329113472
125,21.0,4.9,4.0,2.0,0,1,4,2.0,0.0,1.0,36,12,3,2022,13.97320677313832
126,28.0,4.8,1.0,1.0,1,1,4,1.0,0.0,1.0,18,24,3,2022,7.7631027847272
127,24.0,4.9,1.0,2.0,1,3,3,1.0,0.0,2.0,17,30,3,2022,6.290134677634678
128,33.0,4.4,3.0,1.0,0,2,4,1.0,0.0,1.0,28,5,3,2022,1.5368503798527686
129,20.0,4.6,1.0,4.0,0,4,4,0.0,1.0,1.0,44,18,3,2022,13.973177561576211
130,31.0,4.3,4.0,1.0,0,2,4,1.0,0.0,1.0,20,13,3,2022,9.34840352266177
131,30.0,4.7,2.0,1.0,2,2,3,0.0,0.0,1.0,19,9,3,2022,4.596576884052145
132,36.0,5.0,1.0,4.0,1,2,4,1.0,0.0,1.0,35,31,3,2022,10.602467987619454
133,31.0,4.2,3.0,4.0,0,3,4,1.0,0.0,1.0,50,23,3,2022,17.076258901182708
134,39.0,4.1,2.0,4.0,1,3,3,1.0,0.0,1.0,34,24,3,2022,9.22083460710919
135,29.0,4.6,6.0,4.0,2,3,2,1.0,0.0,1.0,17,12,3,2022,12.161605446009546
136,29.0,4.6,3.0,3.0,1,2,3,0.0,0.0,2.0,23,3,3,2022,6.08088296759392
137,37.0,4.9,1.0,2.0,0,4,4,1.0,0.0,1.0,27,9,3,2022,4.674143698976654
138,33.0,4.7,5.0,3.0,0,2,4,0.0,0.0,2.0,26,17,3,2022,6.290134677634678
139,31.0,3.9,5.0,1.0,1,4,3,1.0,0.0,1.0,35,18,3,2022,10.709003371535461
140,37.0,4.6,4.0,3.0,0,1,4,1.0,0.0,2.0,41,19,3,2022,6.290134677634678
141,26.0,4.4,3.0,1.0,0,4,4,0.0,0.0,1.0,23,7,3,2022,9.314884732862103
142,24.0,4.6,2.0,2.0,0,2,4,0.0,0.0,1.0,30,4,3,2022,17.137482577838096
143,23.0,4.8,4.0,1.0,1,4,3,1.0,0.0,1.0,19,3,4,2022,3.145067434621583
144,36.0,4.9,4.0,1.0,1,4,3,1.0,0.0,1.0,27,11,3,2022,1.5725337292863206
145,39.0,4.8,5.0,3.0,0,2,4,1.0,0.0,1.0,28,1,4,2022,6.218002348694166
146,20.0,4.7,3.0,2.0,0,1,4,1.0,0.0,1.0,24,20,3,2022,12.463883024166929
147,20.0,5.0,5.0,4.0,0,3,4,1.0,0.0,2.0,36,31,3,2022,20.2065815105083
148,29.0,4.3,3.0,1.0,0,4,4,0.0,0.0,1.0,28,13,2,2022,9.081116432460675
149,36.0,4.8,1.0,2.0,2,1,4,1.0,0.0,2.0,31,29,3,2022,17.138077427627362
150,36.0,4.0,6.0,4.0,0,3,4,3.0,0.0,1.0,44,16,3,2022,13.631343698143361
151,22.0,4.8,4.0,1.0,1,1,3,1.0,0.0,1.0,15,14,3,2022,12.074063090453254
152,38.0,4.4,4.0,2.0,0,4,4,1.0,0.0,1.0,33,31,3,2022,10.72326417216742
153,39.0,4.9,1.0,4.0,0,4,4,0.0,0.0,1.0,30,17,3,2022,7.600994631258499
154,24.0,4.9,2.0,2.0,1,2,3,1.0,0.0,1.0,22,28,3,2022,7.562982485199944
155,30.0,4.1,1.0,1.0,0,2,4,0.0,0.0,1.0,43,4,4,2022,11.007734763744619
156,35.0,4.8,1.0,2.0,0,3,4,3.0,0.0,1.0,48,4,3,2022,13.829314445199007
157,33.0,4.5,2.0,1.0,2,1,2,1.0,0.0,1.0,19,4,3,2022,13.969116967729818
158,39.0,4.7,4.0,2.0,1,2,4,1.0,0.0,2.0,21,14,2,2022,10.923267458246297
159,31.0,4.3,4.0,4.0,1,1,4,0.0,0.0,1.0,44,25,3,2022,12.117036432265767
160,37.0,4.5,4.0,1.0,2,1,3,0.0,0.0,1.0,26,17,3,2022,1.5525704156530522
161,37.0,4.7,4.0,1.0,1,4,3,1.0,0.0,1.0,26,1,4,2022,4.663566689152346
162,33.0,5.0,4.0,3.0,1,3,4,1.0,0.0,1.0,31,19,3,2022,1.5294972211336797
163,24.0,4.6,2.0,1.0,2,3,3,1.0,0.0,2.0,19,7,3,2022,9.435201537430713
164,33.0,4.5,6.0,4.0,1,2,3,0.0,0.0,1.0,18,2,3,2022,11.916757259074872
165,39.0,4.7,1.0,2.0,2,3,4,1.0,0.0,1.0,38,16,2,2022,10.486117701549048
166,37.0,4.6,5.0,2.0,1,2,4,1.0,0.0,1.0,32,29,3,2022,13.583078662316938
167,25.0,4.9,3.0,1.0,2,3,3,1.0,0.0,1.0,17,7,3,2022,7.6831914051315415
168,28.0,4.8,1.0,2.0,1,4,3,1.0,0.0,2.0,11,3,3,2022,9.193093962702367
169,38.0,4.7,4.0,3.0,2,4,4,1.0,0.0,1.0,31,30,3,2022,6.2178836475587875
170,30.0,4.7,3.0,2.0,0,1,4,0.0,0.0,1.0,43,12,3,2022,10.427235657896192
171,31.0,4.6,4.0,2.0,0,3,4,0.0,0.0,1.0,25,19,3,2022,9.3268725291157
172,25.0,4.8,5.0,4.0,2,2,4,1.0,0.0,1.0,22,15,3,2022,9.179538450825504
173,35.0,4.9,1.0,4.0,0,1,4,3.0,0.0,1.0,43,2,3,2022,10.880651848535361
174,39.0,4.7,1.0,4.0,0,4,4,1.0,1.0,1.0,42,31,3,2022,10.565262855251573
175,38.0,3.9,2.0,4.0,1,3,4,0.0,0.0,1.0,42,6,3,2022,12.100062421151955
176,35.0,4.7,1.0,4.0,1,1,4,1.0,0.0,1.0,34,21,3,2022,4.657159718108008
177,29.0,4.7,3.0,1.0,1,2,4,1.0,0.0,1.0,17,1,3,2022,2.9812178551917157
178,27.0,4.6,2.0,4.0,1,2,3,0.0,0.0,1.0,25,24,3,2022,4.561265632840908
179,38.0,4.3,3.0,4.0,0,3,4,1.0,1.0,1.0,54,4,4,2022,13.989916877276224
180,36.0,4.9,4.0,1.0,2,4,4,0.0,0.0,1.0,21,2,3,2022,10.64228895373847
181,26.0,4.0,5.0,3.0,1,4,4,1.0,0.0,1.0,34,1,4,2022,6.1474046526362285
182,26.0,4.1,1.0,4.0,2,3,4,1.0,0.0,1.0,36,12,2,2022,13.428477357470477
183,36.0,4.9,6.0,2.0,1,1,4,0.0,0.0,1.0,17,5,4,2022,9.327285157960466
184,21.0,4.7,6.0,1.0,0,3,4,1.0,0.0,1.0,16,3,3,2022,1.489792976782923
185,35.0,4.7,6.0,4.0,2,3,2,1.0,0.0,1.0,27,6,4,2022,12.418394742110715
186,20.0,4.5,1.0,3.0,2,3,4,1.0,0.0,1.0,26,17,3,2022,6.21786068914486
187,23.0,4.6,1.0,4.0,0,2,4,2.0,1.0,1.0,46,31,3,2022,13.787803344502166
188,37.0,5.0,6.0,4.0,0,4,4,0.0,0.0,1.0,29,17,2,2022,9.080187058762698
189,26.0,4.8,3.0,4.0,0,2,4,1.0,0.0,1.0,23,9,3,2022,9.315441635500324
190,29.0,5.0,3.0,1.0,1,2,3,1.0,0.0,2.0,11,27,3,2022,12.161417162420864
191,26.0,4.9,2.0,2.0,1,2,4,0.0,0.0,1.0,28,25,3,2022,16.6368750388607
192,29.0,4.8,5.0,4.0,0,3,4,1.0,0.0,1.0,25,11,3,2022,9.192951167083816
193,29.0,4.7,3.0,1.0,2,2,4,0.0,0.0,1.0,11,3,3,2022,3.018226484999582
194,21.0,4.9,4.0,2.0,1,3,3,1.0,0.0,1.0,26,15,2,2022,4.395420246829279
195,22.0,4.3,2.0,1.0,0,3,4,1.0,0.0,1.0,23,7,3,2022,3.109059104393339
196,31.0,4.0,1.0,2.0,1,2,4,2.0,0.0,1.0,39,18,3,2022,11.916582838287255
197,20.0,4.5,1.0,1.0,1,2,4,0.0,0.0,1.0,11,3,4,2022,3.1162485097897914
198,30.0,3.9,2.0,4.0,2,1,2,1.0,0.0,1.0,32,6,4,2022,12.116950608888649
199,36.0,4.8,1.0,2.0,0,2,4,1.0,0.0,1.0,43,6,3,2022,10.868263117988304
200,24.0,4.7,1.0,2.0,1,4,3,1.0,0.0,1.0,13,19,3,2022,6.218153086065569
201,32.0,4.7,4.0,1.0,2,4,2,0.0,0.0,1.0,25,21,3,2022,1.554424975889943
202,25.0,5.0,4.0,2.0,1,1,4,0.0,0.0,1.0,27,19,3,2022,9.313017158715258
203,27.0,4.5,4.0,2.0,2,1,3,1.0,0.0,1.0,29,28,3,2022,6.147106622705237
204,32.0,4.1,3.0,2.0,0,4,4,1.0,0.0,1.0,33,29,3,2022,10.867300462045637
205,23.0,4.7,1.0,2.0,1,1,4,1.0,0.0,2.0,19,17,3,2022,6.2092598820424385
206,39.0,4.4,6.0,2.0,0,3,4,1.0,0.0,1.0,33,29,3,2022,20.18085916835192
207,20.0,4.8,1.0,4.0,1,2,4,1.0,0.0,1.0,28,21,3,2022,9.435201537430713
208,20.0,4.8,4.0,2.0,2,1,2,0.0,0.0,1.0,15,4,3,2022,11.919755989352518
209,29.0,4.6,2.0,4.0,1,3,3,1.0,0.0,1.0,29,15,2,2022,4.494291162003691
210,26.0,4.9,2.0,1.0,2,3,3,1.0,0.0,1.0,18,29,3,2022,20.851726357533593
211,25.0,5.0,2.0,1.0,1,3,4,1.0,0.0,1.0,14,13,2,2022,1.5605734793802433
212,34.0,4.7,4.0,2.0,1,2,4,1.0,0.0,1.0,30,3,4,2022,6.210589610313767
213,31.0,4.9,6.0,3.0,0,2,4,0.0,0.0,1.0,28,13,2,2022,6.175283575307921
214,24.0,4.7,1.0,4.0,0,2,4,1.0,0.0,1.0,39,16,3,2022,20.44292976252901
215,30.0,4.9,5.0,2.0,2,3,4,0.0,0.0,1.0,30,2,4,2022,13.830084721845129
216,36.0,4.8,3.0,2.0,0,4,4,1.0,0.0,1.0,36,20,3,2022,19.373745834955248
217,36.0,4.4,1.0,1.0,0,2,4,1.0,0.0,1.0,37,29,3,2022,20.857115324129346
218,26.0,4.7,5.0,4.0,0,3,4,1.0,0.0,1.0,43,4,3,2022,20.85155740266031
219,30.0,4.6,6.0,1.0,2,4,3,1.0,0.0,1.0,29,27,3,2022,16.659963190056956
220,20.0,4.8,2.0,2.0,2,1,3,1.0,0.0,1.0,25,11,2,2022,4.717601092054723
221,33.0,4.7,1.0,2.0,2,4,2,1.0,0.0,2.0,15,9,3,2022,7.76260023979046
222,30.0,4.7,3.0,4.0,1,2,3,0.0,0.0,1.0,24,2,3,2022,11.007734763744619
223,34.0,4.0,4.0,4.0,0,2,4,2.0,0.0,1.0,39,12,3,2022,13.766855008587
224,36.0,4.6,4.0,1.0,0,4,4,1.0,0.0,1.0,20,4,4,2022,12.29367767357356
225,33.0,4.6,1.0,1.0,1,4,4,1.0,0.0,1.0,15,11,2,2022,2.984637269285578
226,22.0,4.8,3.0,1.0,1,1,4,1.0,0.0,1.0,16,18,2,2022,16.788275862514016
227,38.0,4.7,6.0,1.0,2,1,3,1.0,0.0,1.0,19,19,3,2022,1.5320227740635555
228,27.0,4.9,1.0,1.0,2,1,3,0.0,0.0,1.0,20,2,3,2022,12.421407858788074
229,32.0,4.8,6.0,4.0,2,3,3,1.0,0.0,1.0,25,14,2,2022,10.444776155165613
230,26.0,4.8,5.0,4.0,0,2,4,1.0,0.0,1.0,43,27,3,2022,12.42075005031394
231,29.0,4.5,4.0,1.0,0,1,4,0.0,0.0,2.0,15,4,3,2022,19.65937352744409
232,31.0,4.5,6.0,4.0,0,4,4,0.0,0.0,2.0,29,6,4,2022,12.46418980459395
233,28.0,4.6,2.0,3.0,2,1,4,0.0,0.0,1.0,14,26,3,2022,6.146243658393976
234,21.0,4.8,6.0,2.0,1,4,4,1.0,0.0,1.0,11,11,2,2022,8.929086888936338
235,21.0,4.0,3.0,1.0,0,4,4,1.0,0.0,1.0,19,28,3,2022,7.790362124533636
236,30.0,4.9,4.0,1.0,1,1,4,1.0,0.0,1.0,29,18,3,2022,12.58026782240096
237,29.0,4.7,5.0,2.0,2,4,4,1.0,0.0,2.0,11,11,2,2022,5.992096714696384
238,20.0,4.8,6.0,3.0,1,2,4,0.0,0.0,1.0,14,28,3,2022,1.5297232853102503
239,28.0,5.0,4.0,1.0,0,2,4,0.0,0.0,2.0,15,16,2,2022,13.73594217639658
240,25.0,4.7,3.0,1.0,0,3,4,1.0,0.0,1.0,16,16,3,2022,10.705559922396493
241,30.0,4.7,,,3,4,4,1.0,1.0,2.0,43,8,3,2022,16.85256546542981
242,38.0,4.8,2.0,1.0,1,4,4,1.0,0.0,1.0,20,28,3,2022,3.1048037532854202
243,39.0,4.9,2.0,1.0,1,1,4,1.0,0.0,1.0,26,3,3,2022,4.610073053799367
244,26.0,4.9,4.0,2.0,1,2,3,0.0,0.0,1.0,26,13,3,2022,9.122100805601539
245,33.0,4.4,4.0,4.0,1,3,4,0.0,0.0,2.0,43,14,3,2022,10.906036622245397
246,24.0,4.6,3.0,2.0,0,2,4,1.0,0.0,2.0,25,1,3,2022,9.088013799330726
247,24.0,4.9,1.0,2.0,0,4,4,1.0,0.0,1.0,28,21,3,2022,6.232303380307374
248,33.0,4.5,2.0,1.0,2,4,3,0.0,0.0,1.0,17,10,3,2022,13.611566722125016
249,35.0,4.2,4.0,4.0,1,1,4,1.0,0.0,1.0,44,20,3,2022,13.611428630407518
250,27.0,4.2,2.0,4.0,0,4,4,1.0,0.0,1.0,33,6,4,2022,13.763896210757894
251,30.0,4.7,5.0,2.0,1,2,3,1.0,0.0,2.0,19,15,3,2022,7.761350404897176
252,29.0,4.5,6.0,2.0,0,2,4,0.0,0.0,1.0,15,3,4,2022,4.657591594951663
253,34.0,4.7,1.0,1.0,1,4,3,1.0,0.0,1.0,27,12,2,2022,19.343487217443105
254,20.0,4.7,5.0,3.0,2,3,3,1.0,0.0,1.0,25,11,2,2022,2.9845125598688216
255,29.0,4.8,6.0,3.0,1,1,4,1.0,0.0,1.0,18,5,4,2022,6.058876303739538
256,22.0,4.9,2.0,2.0,2,2,3,0.0,0.0,1.0,21,5,4,2022,9.08808409216373
257,35.0,4.9,5.0,4.0,0,4,4,2.0,0.0,1.0,53,18,2,2022,10.417065790358764
258,32.0,4.4,3.0,4.0,0,1,4,3.0,0.0,1.0,42,12,2,2022,17.16483390268399
259,28.0,4.9,6.0,4.0,2,2,4,1.0,0.0,1.0,20,14,2,2022,16.113872411826254
