,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance,Day,Month,Year
63,24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,,25,3,2022
64,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,17,,9,3,2022
65,,,,,1,Drinks,scooter,0.0,No,Metropolitian,19,,11,3,2022
66,26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,10,,5,3,2022
67,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,27,,11,2,2022
68,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,Metropolitian,37,,12,3,2022
69,39.0,4.6,Fog,Jam,1,Drinks,scooter,2.0,No,Metropolitian,44,,29,3,2022
70,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,,19,3,2022
71,27.0,4.7,Cloudy,Jam,2,Snack,scooter,1.0,No,Metropolitian,42,,10,3,2022
72,30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,25,,16,2,2022
73,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,Metropolitian,39,,27,3,2022
74,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,,27,3,2022
75,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,31,,24,3,2022
76,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,Metropolitian,13,,9,3,2022
77,39.0,4.8,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,,3,3,2022
78,25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,Urban,19,,15,2,2022
79,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,,18,2,2022
80,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,,1,3,2022
81,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,39,,23,3,2022
82,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,Metropolitian,25,,1,4,2022
83,34.0,4.7,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,15,,16,2,2022
84,38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,Urban,15,,11,3,2022
85,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,Metropolitian,15,,14,3,2022
86,25.0,5.0,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,,18,3,2022
87,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,18,,1,4,2022
88,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,,4,4,2022
89,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,20,,11,3,2022
90,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,39,,13,3,2022
91,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,,4,3,2022
92,25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Urban,19,,26,3,2022
93,23.0,4.8,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,,16,3,2022
94,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,Urban,15,,1,3,2022
95,24.0,4.3,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Urban,19,,15,3,2022
96,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,29,,4,3,2022
97,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,,18,3,2022
98,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,Metropolitian,42,,23,3,2022
99,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,,15,3,2022
100,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,,8,3,2022
101,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,,10,3,2022
102,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,,11,2,2022
103,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,Metropolitian,24,,14,3,2022
104,39.0,3.8,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,,16,3,2022
105,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,Metropolitian,24,,1,3,2022
106,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,13,,1,3,2022
107,20.0,4.8,Cloudy,Low,0,Drinks,motorcycle,0.0,No,,16,,30,3,2022
108,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Urban,42,,2,3,2022
109,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,17,,20,3,2022
110,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,25,,3,4,2022
111,,,,,3,Snack,electric_scooter,0.0,No,Metropolitian,25,,2,4,2022
112,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,Metropolitian,39,,29,3,2022
113,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,Metropolitian,18,,17,3,2022
114,32.0,4.9,Sandstorms,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,28,,17,3,2022
115,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,,15,2,2022
116,23.0,4.9,Windy,Low,1,Meal,scooter,0.0,No,Metropolitian,18,,18,3,2022
117,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,49,,8,3,2022
118,23.0,,Sunny,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,15,,17,2,2022
119,27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,,31,3,2022
120,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,,1,3,2022
121,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,Urban,11,,3,4,2022
122,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,25,,24,3,2022
123,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,,7,3,2022
124,27.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,14,,9,3,2022
125,21.0,4.9,Windy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,36,,12,3,2022
126,28.0,4.8,Fog,Low,1,Drinks,motorcycle,,No,Metropolitian,18,,24,3,2022
127,24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,Urban,17,,30,3,2022
128,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,,5,3,2022
129,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,Metropolitian,44,,18,3,2022
130,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,20,,13,3,2022
131,,,Stormy,Low,2,Snack,scooter,0.0,No,,19,,9,3,2022
132,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,35,,31,3,2022
133,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,50,,23,3,2022
134,39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,34,,24,3,2022
135,29.0,4.6,Sunny,Jam,2,Meal,electric_scooter,,No,Metropolitian,17,,12,3,2022
136,29.0,4.6,Sandstorms,High,1,Snack,scooter,0.0,No,Urban,23,,3,3,2022
137,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,27,,9,3,2022
138,33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,Urban,26,,17,3,2022
139,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,,18,3,2022
140,37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,Urban,41,,19,3,2022
141,26.0,4.4,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,23,,7,3,2022
142,24.0,4.6,Stormy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,30,,4,3,2022
143,23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,19,,3,4,2022
144,36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,,11,3,2022
145,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,Metropolitian,28,,1,4,2022
146,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,24,,20,3,2022
147,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Urban,36,,31,3,2022
148,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,28,,13,2,2022
149,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,Urban,31,,29,3,2022
150,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,44,,16,3,2022
151,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,Metropolitian,15,,14,3,2022
152,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,,31,3,2022
153,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,30,,17,3,2022
154,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,22,,28,3,2022
155,30.0,4.1,Fog,Low,0,Snack,motorcycle,0.0,No,Metropolitian,43,,4,4,2022
156,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,Metropolitian,48,,4,3,2022
157,33.0,4.5,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,19,,4,3,2022
158,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Urban,21,,14,2,2022
159,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,44,,25,3,2022
160,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,Metropolitian,26,,17,3,2022
161,37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,Metropolitian,26,,1,4,2022
162,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,,19,3,2022
163,24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,Urban,19,,7,3,2022
164,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,18,,2,3,2022
165,39.0,4.7,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,,16,2,2022
166,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,32,,29,3,2022
167,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,17,,7,3,2022
168,28.0,4.8,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,,3,3,2022
169,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,Metropolitian,31,,30,3,2022
170,,,Sandstorms,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,43,,12,3,2022
171,31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,Metropolitian,25,,19,3,2022
172,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,,15,3,2022
173,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,43,,2,3,2022
174,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Metropolitian,42,,31,3,2022
175,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,42,,6,3,2022
176,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,34,,21,3,2022
177,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,17,,1,3,2022
178,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,Metropolitian,25,,24,3,2022
179,38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,Semi-Urban,54,,4,4,2022
180,36.0,4.9,Windy,Low,2,Buffet,motorcycle,0.0,No,Metropolitian,21,,2,3,2022
181,26.0,4.0,Cloudy,High,1,Buffet,motorcycle,,No,Metropolitian,34,,1,4,2022
182,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,,12,2,2022
183,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,17,,5,4,2022
184,21.0,4.7,Sunny,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,,3,3,2022
185,35.0,4.7,Sunny,Jam,2,Meal,electric_scooter,1.0,No,Metropolitian,27,,6,4,2022
186,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,Metropolitian,26,,17,3,2022
187,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,,31,3,2022
188,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Metropolitian,29,,17,2,2022
189,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,23,,9,3,2022
190,29.0,5.0,Sandstorms,Low,1,Snack,scooter,,No,Urban,11,,27,3,2022
191,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,Metropolitian,28,,25,3,2022
192,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,,11,3,2022
193,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,Metropolitian,11,,3,3,2022
194,21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,Metropolitian,26,,15,2,2022
195,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,,7,3,2022
196,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,Metropolitian,39,,18,3,2022
197,20.0,4.5,Fog,Low,1,Snack,motorcycle,0.0,No,,11,,3,4,2022
198,30.0,3.9,Stormy,Jam,2,Drinks,electric_scooter,,No,Metropolitian,32,,6,4,2022
199,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,43,,6,3,2022
200,24.0,4.7,Fog,Medium,1,Buffet,scooter,,No,Metropolitian,13,,19,3,2022
201,32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,25,,21,3,2022
202,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,Metropolitian,27,,19,3,2022
203,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,29,,28,3,2022
204,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,,29,3,2022
205,23.0,4.7,Fog,Medium,1,Drinks,motorcycle,1.0,No,Urban,19,,17,3,2022
206,39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,33,,29,3,2022
207,20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,28,,21,3,2022
208,20.0,4.8,Windy,Medium,2,Drinks,electric_scooter,0.0,No,,15,,4,3,2022
209,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,,15,2,2022
210,26.0,4.9,Stormy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,,29,3,2022
211,25.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,14,,13,2,2022
212,34.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,30,,3,4,2022
213,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,Metropolitian,28,,13,2,2022
214,24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,39,,16,3,2022
215,30.0,4.9,Cloudy,Medium,2,Meal,motorcycle,0.0,No,Metropolitian,30,,2,4,2022
216,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,36,,20,3,2022
217,36.0,4.4,Fog,Low,0,Snack,motorcycle,,No,Metropolitian,37,,29,3,2022
218,26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,43,,4,3,2022
219,30.0,4.6,Sunny,Low,2,Buffet,scooter,1.0,No,,29,,27,3,2022
220,20.0,4.8,Stormy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,25,,11,2,2022
221,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,15,,9,3,2022
222,,,Sandstorms,Jam,1,Snack,scooter,0.0,No,Metropolitian,24,,2,3,2022
223,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,,12,3,2022
224,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,20,,4,4,2022
225,33.0,4.6,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,,11,2,2022
226,22.0,4.8,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,,18,2,2022
227,38.0,4.7,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,,19,3,2022
228,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,Metropolitian,20,,2,3,2022
229,32.0,4.8,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,,14,2,2022
230,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,43,,27,3,2022
231,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,Urban,15,,4,3,2022
232,31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,Urban,29,,6,4,2022
233,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,Metropolitian,14,,26,3,2022
234,21.0,4.8,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,,11,2,2022
235,21.0,4.0,Sandstorms,Low,0,Buffet,motorcycle,,No,Metropolitian,19,,28,3,2022
236,30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,29,,18,3,2022
237,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,Urban,11,,11,2,2022
238,20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,,28,3,2022
239,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,,16,2,2022
240,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,,16,3,2022
241,,,,,3,Buffet,motorcycle,1.0,Yes,Urban,43,,8,3,2022
242,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,20,,28,3,2022
243,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,26,,3,3,2022
244,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,Metropolitian,26,,13,3,2022
245,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,Urban,43,,14,3,2022
246,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,Urban,25,,1,3,2022
247,24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,28,,21,3,2022
248,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,Metropolitian,17,,10,3,2022
249,35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,44,,20,3,2022
250,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,33,,6,4,2022
251,,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,,15,3,2022
252,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,15,,3,4,2022
253,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,Metropolitian,27,,12,2,2022
254,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,Metropolitian,25,,11,2,2022
255,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,Metropolitian,18,,5,4,2022
256,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,Metropolitian,21,,5,4,2022
257,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,Metropolitian,53,,18,2,2022
258,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,42,,12,2,2022
259,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,20,,14,2,2022
260,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,Metropolitian,29,,2,3,2022
261,22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,Urban,15,,4,4,2022
262,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,30,,9,3,2022
